title,media
Most Americans don't see Trump as religious; fewer than half say they think he's Christian,A majority of Americans say Trump is “not too” or “not at all” religious. Half either say they're not sure what his religion is or that he has none.
Remarks by President Trump After Meeting with Republican Senators,"U.S. Capitol Washington, D.C. 1:57 P.M. EDT THE PRESIDENT: So we just had a great meeting. Tremendous unity in the Republican Party. And we're working ..."
Donald Trump is *really* ramping up his efforts to rewrite coronavirus history,"President Donald Trump is rapidly seeking to rewrite the history of the coronavirus pandemic and his administration's reaction to it, even as its scale continues to ..."
Trump's hope for an Easter reopening clashes with coronavirus reality,President Donald Trump's predictions that victory is close in the coronavirus crisis are becoming increasingly impossible to square with the harrowing escalation ...
"President Donald J. Trump Is Supporting American Businesses, Workers, and Families Impacted by the Coronavirus",STRONG LEGISLATIVE ACTION: President Donald J. Trump is signing a legislative package that provides extensive assistance to Americans impacted by the ...
Trump talks himself up as 'wartime president' to lead America through a crisis,The president initially scoffed at the coronavirus. Now he seems convinced he can lead – and secure four more years in November.
"Remarks by President Trump After Tour of the Centers for Disease Control and Prevention | Atlanta, GA","Centers for Disease Control and Prevention Atlanta, Georgia March 6, 2020 4:43 P.M EST THE PRESIDENT: I said, ""I'd like to walk the press down the hall to."
The Political Genius of Donald Trump,"Donald Trump is presiding over one of the worst calamities to befall the nation in living memory, and anyone who has followed his response since the ..."
"Remarks by President Trump, Vice President Pence, and Members of the Coronavirus Task Force in Press Briefing",James S. Brady Press Briefing Room 11:31 A.M. EDT THE PRESIDENT: Thank you very much. I think this is going to be a very important conference and I'll g.
President Trump is as popular as he's ever been right now,Here's an indisputable fact: President Donald Trump is as popular today as he has been since his first day in office.
"Trump tests negative for coronavirus, White House says","President Donald Trump has tested negative for the coronavirus, according to a statement from the White House."
Donald Trump's special day,"The President talked of reopening the country by Easter, which he called a ""very special day."" But public health officials stressed that America was in for a longer ..."
President Donald J. Trump Has Taken Unprecedented Steps To Respond To The Coronavirus And Protect The Health And Safety Of Americans,President Donald J. Trump is taking further action to curb the spread of the coronavirus to the United States from other countries.
Donald Trump's scapegoating coronavirus speech shows he just doesn't get it,President Donald Trump delivered an unusual Oval Office address on Wednesday night designed to reassure the American public that he and his administration ...
Fact check: Trump tries to erase the memory of him downplaying the coronavirus,The somber President Donald Trump of Monday's press conference bore little resemblance to the Trump who had relentlessly played down the coronavirus over ...
"President Donald J. Trump Is Providing Economic Relief to American Workers, Families, and Businesses Impacted by the Coronavirus",SECURING EMERGENCY RELIEF: President Donald J. Trump is signing bipartisan legislation to provide relief to American families and workers during the ...
Coronavirus: Five Trump claims fact-checked,President Donald Trump has been defending his handling of the coronavirus outbreak as the number of cases there continues to rise sharply.
This Is How Donald Trump Will Be Remembered,None of the crises surrounding President Donald Trump over the past three years has been as calamitous as the one he now faces. Impeachment was largely a ...
President Donald J. Trump Is Taking Necessary Safety Measures at the Border to Prevent Further Spread of the Coronavirus,"I will never hesitate to take any necessary steps to protect the lives, health, and safety of the American people. I will always put the wellbeing of America first."
Trump’s failed presidency,Elaine Kamarck writes that President Trump's failure to respond adequately to the pandemic is an example of a flaw shared by many modern presidents: an ...
Donald Trump’s Cult of Personality Did This,The autocratic political culture that has propped up the Trump administration has left the nation entirely unprepared for an economic and public-health calamity.
Remarks by President Trump in Address to the Nation,"Oval Office 9:02 P.M. EDT THE PRESIDENT: My fellow Americans: Tonight, I want to speak with you about our nation's unprecedented response to the ..."
Joint Statement from President Donald J. Trump and President Jair Bolsonaro,"Today, President Donald J. Trump and President Jair Bolsonaro of Brazil reaffirmed the strategic alliance between the United States and Brazil, deepening t."
Coronavirus: Trump orders 'time-wasting' General Motors to make ventilators,US President Donald Trump has ordered General Motors to make ventilators for coronavirus patients after attacking the car giant's chief executive. He invoked ...
Trump’s character problem,"The night before Super Tuesday, Joe Biden spoke fervently about the need to restore decency and dignity to the White House. To some, these words might have ..."
Donald Trump can't face the stubborn reality: He was wrong about coronavirus,"At the daily coronavirus press conference on Monday night, CNN's Jim Acosta asked President Donald Trump about his past comments that downplayed the ..."
Trump wobbles as a wartime President,"Like his recent predecessors, President Donald Trump sits in the Oval Office at the Resolute Desk. But in battling the coronavirus pandemic, he has been ..."
Remarks by President Trump and Prime Minister Varadkar of Ireland Before Bilateral Meeting,"Oval Office. 11:00 A.M. EDT. PRESIDENT TRUMP: Well, thank you all very much. It's an honor to be with the Prime Minister of Ireland. We've known each other ..."
President Donald Trump Tweetstorm – The Sunday Edition,"Today's tweetstorm by President Donald Trump channeled legendary crooner Bing Crosby, to wit: You've got to accentuate the positive/Eliminate the ..."
About a third of Americans say Trump's election was God's will,Few United States adults – just 5% – say God chose Donald Trump to be president because God approves of his policies.
Trump insists on congratulations while America braces for the worst,"It is falling to President Donald Trump to lead America into its most tragic month in decades, as experts say the coronavirus pandemic could kill more citizens ..."
The missing six weeks: how Trump failed the biggest test of his life,The president was aware of the danger from the coronavirus – but a lack of leadership has created an emergency of epic proportions.
"To improve the US coronavirus response, Donald Trump should resign",We are facing a pandemic about which US President Donald Trump appears incapable of telling the truth — assuming he even knows it — and without quick ...
Fact check: Trump falsely denies saying two things he said last week,"On two occasions during Sunday's coronavirus briefing, President Donald Trump falsely denied he had said words he had said publicly last week."
Letter from President Donald J. Trump on Emergency Determination Under the Stafford Act,"Dear Secretary Wolf, Secretary Mnuchin, Secretary Azar, and Administrator Gaynor: I have determined that the ongoing Coronavirus Disease 2019 (COVID-19) ..."
How Far Can Donald Trump Actually Go in Responding to COVID-19? | National Law Journal,Actions taken by President Donald Trump and state officials in response to the coronavirus pandemic are raising *fresh* questions about just how far executive ...
President Trump's full coronavirus address to the nation,"President Donald Trump addressed the nation about the growing coronavirus pandemic, where he announced a temporary travel ban on travel from Europe and ..."
Remarks by President Trump and Members of the Coronavirus Task Force in Meeting with Pharmaceutical Companies,"Cabinet Room 3:20 P.M. EST. THE PRESIDENT: Well, thank you very much. Today, we are meeting with the pharmaceutical and biotechnology companies ..."
Coronavirus: Trump backs away from New York quarantine,"US President Donald Trump has said quarantining New York ""will not be necessary"", after the state's governor said doing so would be ""preposterous"". Mr Trump ..."
Fact check: Donald Trump made 115 false claims in the last two weeks of February,"Washington (CNN) President Donald Trump made 115 false claims over the last two weeks of February, during which he faced a growing crisis over the ..."
'The Strange Case of Donald J. Trump: A Psychological Reckoning',"When Northwestern University psychologist Dan P. McAdams first wrote about Donald Trump's psyche for “The Atlantic” in 2016, he knew his subject was not ..."
Will the coronavirus crisis spell triumph or disaster for Donald Trump?,The president was slow to address the pandemic that is plunging the US into recession but could an economic bounceback come in time to aid his re-election ...
Trump's coronavirus address causes confusion,CNN's Joe Johns reports how President Donald Trump's Oval Office address about coronavirus confused information on points like travel and trade with Europe.
'I don't take responsibility': Trump shakes hands and spreads blame over coronavirus,"Declaring a national emergency at the White House, the president defied medical advice and acted like a one-man coronavirus cannon."
A Citizen's Guide to Beating Donald Trump review: dispatches from a time before the virus,David Plouffe went to the White House with Obama then predicted a Clinton victory. Has he learned from that reverse? Have we?
Donald Trump starts 2020 in the worst polling position since Harry Truman,Poll of the week: A NBC News/Wall Street Journal poll finds that former Vice President Joe Biden leads President Donald Trump 52% to 43% in a general ...
Donald Trump’s Latest Media Attack Invites Questions Of Whether He Wants Easter “Reopening” To Boost Election Chances,"President Donald Trump again attacked the media at his latest coronavirus press briefing, but the trigger was a question about a tweet he sent earlier on ..."
Donald Trump accuses Democrats of 'fearmongering' over coronavirus,"Donald Trump has accused Democrats of “fearmongering” over the coronavirus outbreak, while claiming his decisions have “saved many lives” and asking drug ..."
Trump says 'life and death' at stake in following guidelines,WASHINGTON (AP) — President Donald Trump warned Americans to brace for a “hell of a bad two weeks” ahead as the White House projected there could be ...
Fact check: Trump and his campaign promote dishonestly edited Biden video,Washington (CNN) President Donald Trump and his campaign promoted a dishonestly edited video on Saturday that wrongly made it seem as if Democratic ...
Trump grades himself on coronavirus response. Here's his score,"During a coronavirus task force meeting, President Donald Trump was asked to grade himself on the White House's response to the crisis."
"Trump concedes US coronavirus death toll could be 100,000 or more","President Donald Trump acknowledged Sunday for the first time that deaths in the United States from coronavirus could reach 100000 or more, adding that if the ..."
Trump says coronavirus testing isn't a problem for US,"During a White House briefing, President Trump reported that testing for the coronavirus was going smoothly, despite health officials saying otherwise."
Coronavirus: Who Trump supporters blame for virus 'hysteria',"With stock markets crashing, Democratic candidates cancelling events and politicians scrambling to come up with a response, the coronavirus outbreak is ..."
Trump made 33 false claims about the coronavirus crisis in the first two weeks of March,"Washington (CNN) President Donald Trump began March with a barrage of false claims about the coronavirus pandemic -- understating the extent of the crisis, ..."
Donald Trump’s mysterious resilience — and his coronavirus risk,"Addressing a traumatised nation, the US president fumbled. His Oval Office speech lacked command and old doubts resurfaced about his fitness for the role."
"Trump boosts virus aid, warns governors to be 'appreciative'","WASHINGTON (AP) — After days of desperate pleas from the nation's governors, President Donald Trump took a round of steps to expand the federal ..."
President Donald J. Trump Is Committed To Safeguarding America's Vital Communications Networks And Securing 5G Technology,President Donald J. Trump signed new legislation to ensure that our Nation's communications networks are protected from foreign adversaries.
Donald Trump's Wrong Claim That 'Anybody' Can Get Tested For Coronavirus,"The process is not as simple as calling your doctor or pharmacy, saying you want to be tested for COVID-19 and getting it done. Clinicians decide whether ..."
Donald Trump’s coronavirus connections,Meet the people in the US president's circle who have come into contact with Covid-19.
Trump Is Inciting a Coronavirus Culture War to Save Himself,The president's attempt to racialize the pandemic is a cover-up of the fact that he trusted false reassurances from Beijing.
Trump now says he will 'likely' receive a coronavirus test,"Washington (CNN) President Donald Trump said Friday he would ""likely"" receive a coronavirus test ""fairly soon"" even as he minimized the prospects of having ..."
Trump announces American has been released from Lebanese prison,"Washington (CNN) President Donald Trump announced Thursday that Lebanese-American Amer Fakhoury has been released from prison, describing the ..."
Seven of Donald Trump's most misleading coronavirus claims,"As US deaths rise, the president seems unable to grasp the severity of the problem – and he's made multiple false claims along the way. US coronavirus ..."
Trump tells governors to stop 'blaming' him after they request more help from feds,"President Donald Trump on Sunday criticized Illinois Gov. J.B. Pritzker and ""a very small group"" of other governors for ""blaming"" his administration ""for their own ..."
The President Is Trapped,"Trump is utterly unsuited to deal with this crisis, either intellectually or temperamentally."
The unique incompetence of Donald Trump in a crisis,I needed to do two kinds of research when writing “Theories of International Politics and Zombies.” The first was mastering the zombie genre. The second was ...
Trump dismissed coronavirus pandemic worry in January — now claims he long warned about it,"""No,"" President Donald Trump said in January when asked if there were worries about coronavirus becoming a pandemic. ""We have it totally under control,"" he ..."
"At Party for Donald Trump Jr.’s Girlfriend, Donors Helped Pick Up the Tab","WASHINGTON — It was a lavish birthday party for Donald Trump Jr.'s girlfriend, Kimberly Guilfoyle. The setting was Mar-a-Lago, President Trump's private club ..."
President Donald J. Trump Approves Washington Disaster Declaration,"Today, President Donald J. Trump declared that a major disaster exists in the State of Washington and ordered Federal assistance to supplement State, triba."
"As Trump tweets and taunts, America’s true leaders take over","As the virus continues to ravage the nation, Donald Trump continues to be Donald Trump. But here's the good news: The nation's leaders are coming together ..."
The 30 most outrageous lines from Donald Trump's interview with Sean Hannity,"President Donald Trump called into Sean Hannity's show on Fox News Thursday night -- and then spent more than 40 minutes talking about the coronavirus, ..."
"Trump-branded properties charged federal government at least $1.2 million, records show",Businesses owned or branded by President Donald Trump have charged the federal government at least $1.2 million in taxpayer money for various services ...
President Donald J. Trump Is Committed to Supporting Small Businesses Impacted by the Coronavirus,President Donald J. Trump is working to provide financial relief for small businesses harmed by the coronavirus outbreak.
"Trump warns of 'painful' two weeks ahead as White House projects more than 100,000 coronavirus deaths","President Donald Trump warned of a ""painful"" and ""tough"" two-week stretch ahead as he extended nationwide distancing measures that -- even if followed ..."
Is coronavirus Donald Trump's Katrina?,"With just 2 days until Super Tuesday 2, the 2020 election is in full swing. Every Sunday, I deliver to your inbox the 5 BIG storylines you need to know to ..."
Donald Trump's Willful Failure To Protect America,The Trump administration botched our short-term window for preparing for the viral outbreak and went out of its way to suppress coronavirus testing for political ...
2020 Watch: Can President Donald Trump reclaim control?,ATLANTA (AP) — The coronavirus outbreak has grounded the 2020 presidential race — but not ended it. What we're watching heading into a new week of what ...
How Trump's business empire is cashing in on the 2020 campaign,Watchdogs and public records reveal how Trump properties have raked in millions from Pacs and Republican figures.
Will the coronavirus topple Donald Trump?,His public statements have misstated the threat from the coronavirus and played down its potential impact on public health.
Why Trump had one of his most challenging weeks and Biden had one of his best,The week that gave Joe Biden a sorely needed political comeback also dealt Donald Trump some of the greatest challenges of his presidency.
Opinion | Trump Is Actually the President We Need Right Now,"As the corona crisis expands into both the greatest public health challenge of our age and what will surely be one of the greatest economic ones as well, ..."
"No, Donald Trump can't cancel the 2020 general election","As states scramble to push back their primaries to comply with the federal guidelines aimed at social distancing to combat the coronavirus, whispers have begun ..."
Trump confirms he sent letter to North Korea about cooperation on coronavirus,President Donald Trump confirmed Sunday that he sent a letter to North Korean leader Kim Jong Un about cooperation on the novel coronavirus and offered ...
"Looking back on impeachment, a quarter of Americans say Trump did nothing wrong",A 46% plurality of U.S. adults say the president did something wrong regarding Ukraine and it was enough to justify his removal from office.
A Complete List of Trump’s Attempts to Play Down Coronavirus,"President Trump made his first public comments about the coronavirus on Jan. 22, in a television interview from Davos with CNBC's Joe Kernen. The first ..."
Trump misrepresents details in coronavirus address,CNN's Kaitlin Collins reports the Department of Homeland Security had to clarify details of the European travel ban that President Donald Trump announced in ...
Arc of Trump's coronavirus comments defies reality on ground,"WASHINGTON (AP) — In the course of a few weeks, President Donald Trump veered from confidently assuring Americans his administration had the ..."
"Donald Trump Can’t Stop Touching Things, Other People","“As the president has said, in our line of work, you shake hands when someone wants to shake your hand,” Vice President Mike Pence told reporters on ..."
Washington Post: US intelligence warned Trump in January and February as he dismissed coronavirus threat,President Donald Trump ignored reports from US intelligence agencies starting in January that warned of the scale and intensity of the coronavirus outbreak in ...
Donald Trump’s Latest Reality Show: The 2020 Election,Trump has been gearing up for the next presidential election since he took office.
The Man Behind Trump’s Facebook Juggernaut,Brad Parscale used social media to sway the 2016 election. He's poised to do it again.
"No Empathy, Only Anger",Those seeking to support Trump's party line need an excuse for their months of denial and deception—and they've found it.
"Trump projects confidence, but markets aren't listening","President Donald Trump opened his coronavirus press conference Sunday hailing ""phenomenal news"": an emergency Federal Reserve interest rate cut to near ..."
Watch: President Donald Trump addresses nation on US response to coronavirus,"President Donald Trump on Wednesday is expected address the nation from the oval office on the U.S. response to the deadly coronavirus outbreak, hours after ..."
"From Homelessness to Donald Trump, This Art Group Takes on All","Indecline, an activist collective, wants to grab headlines with an ambitious schedule of illegal public displays."
The Worst Outcome,"If somebody other than Donald Trump were in the White House, the coronavirus crisis would not be unfolding this way."
'This is insane!' Many scientists lament Trump's embrace of risky malaria drugs for coronavirus,When President Donald Trump recently touted the common malaria treatments hydroxychloroquine and chloroquine as potential remedies for coronavirus ...
What Is Trump Without His Crowds?,"Suspended schedules. Darkened stages. Empty arenas. As the worsening spread of the coronavirus has forced shot callers in sports, entertainment and politics ..."
Trump says Republicans would ‘never’ be elected again if it was easier to vote,President dismissed Democratic-led push for voter reforms amid coronavirus pandemic during Fox & Friends appearance.
