title,media
Remarks by President Trump to the 74th Session of the United Nations General Assembly,"United Nations Headquarters New York, New York September 24, 2019 10:12 A.M. EDT PRESIDENT TRUMP: Thank you very much. Mr. President, Mr."
Memo: Trump prodded Ukraine leader to investigate Bidens,"Time and again, he asked Ukraine's president for help. There was no explicit quid pro quo in Trump's half-hour phone call with Volodymyr Zelenskiy last July."
President Donald J. Trump Has Reached Agreements with Japan to Improve Trade Between Our Nations,"Today, President Trump and Prime Minister Shinzo Abe of Japan reached two agreements to rebalance trade between our two great nations."
Read Trump's phone conversation with Volodymyr Zelensky,"President Donald Trump repeatedly pushed for Ukrainian President Volodymr Zelensky to investigate former Vice President Joe Biden, and his son, Hunter, ..."
Washington at war: Dems aim for speedy impeachment push as Trump threatens whistleblower,Washington (CNN) Lawyers for a whistleblower who accused Donald Trump of pressuring Ukraine to intervene in the 2020 election warn that the President's ...
Trump impeachment: Whistleblower 'endangered' by Trump criticism,The lawyers for a whistleblower whose complaint triggered a US presidential impeachment inquiry say Donald Trump's words are endangering their client.
"President Donald J. Trump is Charting a Future of Nations that Empowers Our Citizens, Respects Our Sovereignty, and Protects Our Freedom",President Donald J. Trump has shown that the path to prosperity and strength lies in lifting up our people and respecting our sovereignty.
Donald Trump already admitted everything you need to know about the Ukraine drama,President Donald Trump accidentally told a whole lot of the truth over the weekend about his conversation with the Ukrainian president.
President Donald J. Trump's Humanitarian and Responsible Approach On Refugees Protects the Welfare of American Citizens,A responsible approach to refugees is one that seeks the eventual return of refugees to their home countries so that they can help to rebuild their own nations.
Trump stares impeachment in the face and doesn't like what he sees,"New York (CNN) Donald Trump's political tragedy is that he really does believe the call with Ukraine's President was ""perfect,"" though it may yet doom him with ..."
"To survive impeachment, Trump has to shut up","Okay, children, pull up a chair, writes Paul Begala, Bill Clinton's strategist during his presidency. Uncle Paul is going to teach you how to win an impeachment ..."
"Trump is seriously, frighteningly unstable – the world is in danger",It is almost too late for impeachment. The 25th amendment is untested. The ballot box offers our only remaining hope.
Trump downplays whistleblower claims in Oval Office,"President Donald Trump downplayed on Friday a complaint submitted by an intelligence whistleblower that reportedly involves Ukraine, claiming the ..."
Trump Is Not Well,"During the 2016 campaign, I received a phone call from an influential political journalist and author, who was soliciting my thoughts on Donald Trump. Trump's ..."
President Donald J. Trump Is Delivering On His Promise to Empower and Lift Up Our Nation's Forgotten Communities,President Trump is ensuring that no citizen is forgotten and no community is ignored.
Meet Donald Trump’s Campaign Manager,"Trump, Inc.” examines Brad Parscale, a web designer turned digital strategist turned presidential avatar with a knack for personal invention that rivals that of his ..."
"'Treason,' 'spying,' 'civil war': Donald Trump lashes out at impeachment accusers",WASHINGTON – President Donald Trump opened another week of impeachment turmoil with slashing attacks on his accusers – including a suggestion that a ...
The Dynasty Ends With King Donald,There will be no President Ivanka. No President Jared. And certainly no President Donald Jr.
Trump says whoever provided whistleblower information is 'close to a spy',"President Donald Trump said Thursday that whoever provided the whistleblower with information about his call with the Ukrainian President is ""close to a spy,"" ..."
Brian Stelter: These 3 words sum up Trump stories,CNN's Brian Stelter breaks down the controversy swirling around President Trump's contacts with the Ukrainian government and the looming impeachment ...
President Donald J. Trump Is Working to Modernize and Improve Influenza Vaccines,MODERNIZING INFLUENZA VACCINES: President Donald J. Trump is safeguarding public health by helping ensure Americans have access to effective ...
"Donald Trump, Peacemaker","Firing John Bolton is the latest sign that the president likes to talk about his generals, but he prefers not to use them."
'I thought it was dead': Donald Trump says he thought he had escaped impeachment after Mueller report,Donald Trump says he thought he had avoided impeachment after Robert Mueller ended his investigation into Russian interference in the 2016 election.
Trump's controversies show his presidency is really all about himself,"Donald Trump's latest controversies make his presidency look more than ever like a vehicle for self-justification, self-preservation and self-enrichment."
Donald Trump vs. the United States of America,Sometimes it's worth stepping back to look at the full picture. He has pressured a foreign leader to interfere in the 2020 American presidential election. He urged ...
President Donald J. Trump is Making America the Best Country in the World to Build and Buy Cars,The Trump Administration is taking action to make America's highways safer and our cars more affordable.
Trump impeachment: Who's who in the Ukraine story?,"A mystery whistleblower, a former comedian and the president of the United States. These are some of the main players in a story that is becoming ever more ..."
Anatomy of a fiasco: A detailed timeline of Trump's Alabama map meltdown,He falsely claimed that Hurricane Dorian was likely to hit Alabama. Then he repeated the claim after the National Weather *Service* debunked it. Then he insisted ...
Donald Trump's 'Summer of Winning' video is a loser,"On Tuesday, the White House released a nearly two-minute video titled ""The Summer of Winning"" that documented a series of alleged -- you guessed it!"
An unshackled Trump finally gets the presidency he always wanted,"No longer hemmed in by aides, Trump has bent the presidency into the mold of the Trump Organization."
Trump's transcript reveal fails to undercut Pelosi's impeachment gamble,President Donald Trump failed in his bid to undercut House Speaker Nancy Pelosi's impeachment move by releasing an account of a call with Ukraine's ...
President Donald Trump is an 'idiot' — says Florida middle school teacher,"President Donald Trump is an ""idiot"" — according to at least one Florida middle school teacher."
This is the week Trump's hubris caught up to him,"President Donald Trump has lived his life, in and out of politics, on one simple principle: I make the rules -- and I can break them."
