title,media
How Pete Buttigieg found God,"The path from analytic philosophy to the Episcopal Church is not especially well traveled. But then, Peter Paul Buttigieg's search for God contains a few crooked ..."
Pete Buttigieg Was Rising. Then Came South Bend’s Policing Crisis.,"SOUTH BEND, Ind. — On a Tuesday in March, just after Pete Buttigieg began to catch fire with Democrats nationally, he flew home for his final State of the City ..."
"Meet Pete Buttigieg, Democratic Presidential Candidate","Update: Pete Buttigieg announced on March 1, 2020, that he was ending his campaign.Fact can be more interesting than fiction. In 2000, a high school …"
Pete Buttigieg releases rural economy plan ahead of 9th Iowa trip,"In a push to win over rural voters, South Bend, Indiana, Mayor Pete Buttigieg released a wide-ranging plan Tuesday aimed at reinvigorating rural America, ..."
How Pete Buttigieg made his money before he was a presidential hopeful,"In a wealthy 2020 Democratic presidential field, Pete Buttigieg lags behind the pack. The South Bend, Indiana, mayor makes a comfortable living. He and his ..."
"In Iowa, Pete Buttigieg wants to talk about faith: 'There's kind of a need that's been going unmet'",Pete Buttigieg often highlights his Christian faith on the campaign trail. He's encountering more people who want to talk about it in detail.
“He’s Flawed”: Is Mayor Pete’s Beautiful 2020 Dream Already Kaput?,"Black voters, the backbone of the Democratic Party, are skeptical of the police situation in South Bend, and some are put off by his sexuality. But “you can't poll ..."
Meet the lobbyists and special interests who helped launch Pete Buttigieg's political career,Newly obtained documents reveal early bankrollers of the Democratic presidential candidate's first victorious campaign. Meet the lobbyists and special ...
"Buttigieg knocks Trump on background checks: The NRA, ""they have him by the ... base""","South Bend, Indiana, Mayor Pete Buttigieg on Wednesday knocked President Donald Trump for abandoning his previous calls for tougher background checks ..."
"Pete Buttigieg: To tackle challenges like climate change, unlock the potential of rural America",I'm releasing a plan to renew and re-imagine opportunity in rural America.
"Iowa Caucus First Impressions: Pete Buttigieg impresses on policy but needs to engage hearts, not just heads","As South Bend, Indiana, mayor, Pete Buttigieg has served a city of about 100,000 people. That's about the size of Davenport, Iowa. No offense to current or ..."
Here's how Pete Buttigieg plans to appeal to rural and religious voters,South Bend Mayor Pete Buttigieg has been targeting constituencies long considered reserved by the GOP — religious and rural voters.
"Buttigieg rolls out plan to push for mental health care, fight addiction","South Bend, Indiana, Mayor Pete Buttigieg on Friday released a plan to combat addiction and provide mental health services, outlining a proposal that aims to ..."
"Pete Buttigieg Is Losing Momentum Nationally, Poll Finds","After picking up early momentum in the cycle, Democratic presidential candidate Pete Buttigieg has seen his national poll numbers weaken in recent weeks."
