title,media
"Mayor Pete Buttigieg's Unlikely, Untested, Unprecedented Presidential Campaign","He's running as a healer, not a fighter—but 'Mayor Pete' Buttigieg has become the first breakout candidate of the 2020 Democratic primary."
"Where Pete Buttigieg stands on the issues, from 'Medicare for all' to gun control","Mayor Pete policies come to light as the South Bend mayor rises in fame. Here's where Pete Buttigieg stands on abortion, healthcare, taxes and more."
South Bend Mayor Pete Buttigieg out of town for nearly half the days in recent months,"SOUTH BEND — From Austin, Texas, to West Hollywood, Calif., South Bend Mayor Pete Buttigieg's presidential bid has taken him out of town nearly half of the ..."
Pete Buttigieg Confronts Race and Identity in Speech to Gay Group,"LAS VEGAS — Pete Buttigieg, the mayor of South Bend, Ind., on Saturday directly confronted one of his biggest vulnerabilities as a contender for the Democratic ..."
'Seniors for Buttigieg': Why voters twice his age feel drawn to the millennial mayor,"When Barbara Paulding was 44 years old, Joe Biden had been a member of the United States Senate from Delaware for more than a decade -- and Pete ..."
Pete Buttigieg unveils first list of policy proposals,"2020 Democratic presidential candidate Pete Buttigieg on Thursday unveiled 27 new policy proposals grouped under 3 categories: ""Freedom,"" ""Security"" and ..."
"Buttigieg wields his military credentials: 'It's not like I killed Bin Laden,' but it was dangerous",Chicago (CNN) Pete Buttigieg wields his military *service* as both a sword and a shield in his race for the White House. Whether he's reassuring voters about his ...
"Democratic Presidential Candidate Pete Buttigieg On Trade, Military Force And More","In a wide-ranging interview with NPR, presidential hopeful Mayor Pete Buttigieg answers questions about everything from trade and the use of military force to ..."
Mayor Pete Buttigieg asks for help diversifying his base,"At a high school in North Charleston, South Carolina, Democratic presidential candidate Pete Buttigieg made an unusual pitch to voters. He asked the mostly ..."
Pete Buttigieg’s campaign asset: ‘Do I have a great husband or what?’,"Democratic presidential candidate Pete Buttigieg's husband, Chasten Buttigieg, is becoming a star in his own right — complete with 322000 very active Twitter ..."
