title,media
Biden’s First Run for President Was a Calamity. Some Missteps Still Resonate.,"In 1988, Joe Biden was prone to embellishment. Hints of that linger today. But unlike then, his message to voters is clear: He's a stabilizing statesman in a ..."
Joe Biden Called Cory Booker. But Apologize? It’s Not the Biden Way.,Joseph R. Biden Jr. has spent the early weeks of his third presidential bid doing a lot of pushing back. What he hasn't done is is bow to critics and apologize.
"Once the poorest senator, ‘Middle Class Joe’ Biden has reaped millions in income since leaving the vice presidency",Biden bought one multimillion-dollar home and rented another. A book deal and dozens of highly paid speeches placed him in a more rarefied world than he ...
Joe Biden asked for a pen. Then he reversed a position he’d held for four decades.,Joe Biden was in the car on the way to a Democratic gala in Atlanta on Thursday night when he turned to an aide and asked for a pen. The former vice president ...
"Harris gets personal, delivers civil rights blow to Biden","WASHINGTON (AP) — Kamala Harris spoke slowly but bluntly as she stared at Joe Biden, then began treating him as a hostile witness. The former prosecutor ..."
Echoes of Biden’s 1987 plagiarism scandal continue to reverberate,"On Sept. 23, 1987, Joe Biden stood before a crowd of reporters and ended his first presidential campaign amid questions about a value he'd worked hard to ..."
Trump Consultant Is Trolling Democrats With Biden Site That Isn’t Biden’s,"AUSTIN, Tex. — For much of the last three months, the most popular Joseph R. Biden Jr. website has been a slick little piece of disinformation that is designed to ..."
Why Joe Biden Thinks He Can Ignore His Many Democratic Rivals,"MOUNT PLEASANT, Iowa — In a field of 23 Democratic candidates for president, Joseph R. Biden Jr. is campaigning as if he is running alone. Over the past ..."
A mutual target: Democrats join President Trump in punching at Joe Biden,"Democratic and Republican criticisms of the former vice president have dovetailed, centering on his age and baggage."
Joe Biden's New Hampshire Trip Had Some Very Joe Biden Moments,Joe Biden had fun on his second campaign trip to New Hampshire. The same could not be said for his campaign staff.
Biden declares LGBTQ rights his No. 1 legislative priority,"COLUMBUS, Ohio (AP) — Democratic presidential candidate Joe Biden declared Saturday that the Equality Act would be his top legislative priority, an effort to ..."
Joe Biden to See Sharp Knives on Crowded Debate Stage,Former Vice President Joe Biden will be the main target for his presidential-primary rivals as he takes center stage this week in his first 2020 Democratic debate.
What Joe Biden Is Revealing About Democrats,"The political universe was full of people who thought Joe Biden was either too old, too old-school, too centrist, too willing to work with Republicans, or had too ..."
Joe Biden heads to Iowa as frontrunner status is tested,"Former Vice President Joe Biden returns to Iowa this week, where his status as the front-runner for the 2020 Democratic nomination will be tested as he ..."
2020 race: Joe Biden will never give up on the system,"“Any day of the week you can read or hear about the lamentable state of our nation's politics, about our bitter and partisan party divisions, about the regrettable ..."
Joe Biden Has Been in High-Pressure Debates Before. But Never Like This,Joe Biden has never been in such a strong position to capture the Democratic nomination. But will his debate performance help or hurt him?
Joe Biden loses support of top campaign fundraiser in Bay Area after comments on segregationists and Hyde amendment,Former Vice President Joe Biden loses support of top bundler after segregationist comments and flip-flop on Hyde Amendment.
Joe Biden remains publicly mum about upset over his remarks about segregationist senators,"COLUMBIA, S.C. — Former vice president Joe Biden for the second day on Friday publicly ignored a controversy over comments he made this week bragging ..."
"Democratic Candidates Go After Joe Biden, but Not by Name","Even when criticizing his particular views, like his support of the Hyde Amendment, Mr. Biden's rivals have avoided calling him out directly."
Biden Opposed Busing Despite Other Civil Rights Advocacy,"In defending his comments about working with segregationists, Joe Biden cited his record on civil rights and his relationship with Ted Kennedy. But he didn't ..."
When a young Joe Biden used his opponent's age against him,"In 1972, the future vice president ran on a platform of generational change against an older Republican incumbent."
Joe Biden's segregationist comments loom large as 2020 Democrats gather in South Carolina,"When Joe Biden entered the race a few months ago, he looked like an unquestioned frontrunner here -- far outpacing the rest of the Democratic field with his ..."
‘Lock the S.O.B.s Up’: Joe Biden and the Era of Mass Incarceration,He now plays down his role overhauling crime laws with segregationist senators in the '80s and '90s. That portrayal today is at odds with his actions and rhetoric ...
Joe Biden Says His Campaign Has Raised Nearly $20 Million,Mr. Biden revealed his campaign's finances at a fund-raiser in New York on Monday night. It's more than any other candidate raised in the first quarter of the ...
How Will Joe Biden Debate? Some Clues From 2008,The former vice president has more high-stakes debating experience than any of his rivals. But he's never been in this position before.
Kamala Harris confronts Joe Biden on debate stage,Sen. Kamala Harris (D-CA) confronted former Vice President Joe Biden on his recent remarks defending his work with segregationist senators.
Biden's 'gay waiter' comment on LGBTQ rights falls flat in Seattle,Washington (CNN) People gathered at a 2020 presidential fundraiser for Joe Biden Saturday pushed back against the former vice president's claim that just a ...
Biden defends crime bill amid criticism from Democratic foes and Trump,Joe Biden is defending what many Democrats see as all but indefensible: the 1994 crime bill.
"Joe Biden calls on fundraisers to raise up to $100,000 to join his 2020 finance committee","The campaign pitches donors and fundraisers a chance to be one of Biden's ""most dedicated supporters"" and to help ""fuel a professional and inclusive ..."
Joe Biden keeps stepping in it – and voters couldn’t care less,Joe Biden's all-too-friendly touching of women in the MeToo era was supposed to be toxic to his presidential campaign. Critics thought his flip flop on subsidized ...
"Joe Biden didn't just compromise with segregationists. He fought for their cause in schools, experts say.","In a 1975 Senate hearing, the legendary civil rights lawyer Jack Greenberg had something to say to freshman Sen. Joe Biden. Greenberg, longtime director of ..."
