title,media
Joe Biden: Where He Stands,"The former vice president is a known entity in Washington, but can he beat President Donald Trump?"
"The story behind Biden's son, Ukraine and Trump's claims","WASHINGTON (AP) — In 2014, then-Vice President Joe Biden was at the forefront of American diplomatic efforts to support Ukraine's fragile democratic ..."
"Trump, Joe Biden, Hunter Biden And Ukraine: 5 Questions Answered",President Trump asked Ukraine's president to investigate former Vice President Joe Biden and his son Hunter. The Bidens call a smear campaign that has been ...
"Meet Joe Biden, Democratic Presidential Candidate",Is the third time really the charm? Former Vice President Joe Biden certainly hopes so. He first threw his hat in the ring for the 1988 Democratic no…
Trump's efforts to discredit Joe Biden backfired on him. Will they hurt the former VP anyway?,The impeachment inquiry targeted at President Trump over Ukraine has created a complicated dynamic for former vice president Joe Biden's 2020 campaign.
Joe Biden Is in the Headlines Over Trump’s Ukraine Call. He’s Trying to Leverage That,"Joe Biden is doing something of a balancing act these days as he races for campaign cash ahead of a crucial deadline. In the former Vice President's telling, ..."
There's no evidence for Trump's Biden-Ukraine accusations. What really happened?,President Donald Trump said former Vice President Joe Biden had corruptly used his power to benefit his son in Ukraine. Did he?
Taking Out Joe Biden,"The Trump years have been rough on Democrats' sensibilities, and their thinking has become increasingly addled as a result. The party has worked tirelessly to ..."
Does Joe Biden Want to Be Doing This?,"“How badly do you want to be president?” Joseph R. Biden Jr. was asked after a recent speech in Prole, Iowa. The answer to such an inquiry would appear ..."
Joe Biden speech live: Watch as former VP Biden addresses the Trump-Ukraine whistleblower call and his son Hunter today – live updates,"Former Vice President Joe Biden said Tuesday that Congress would have ""no choice"" but to initiate impeachment proceedings against President Trump if the ..."
‘Nobody Has to Be Punished’: Joe Biden’s Economic Tap Dance,The Obama vice president and self-styled Middle Class Joe wants to improve economic and social programs instead of creating sweeping new ones.
"Joe Biden’s Digital Ads Are Disappearing. Not a Good Sign, Strategists Say.","Joseph R. Biden Jr.'s presidential campaign has sharply scaled back his online advertising, cutting spending so severely since August that he is now investing ..."
Joe Biden has his best debate night -- and that might be good enough,Joe Biden was as good at Thursday night's debate as he's been in the entire campaign and perhaps close to as good as he could be.
It’s time to bid farewell to Joe Biden,"Bid farewell to Joe Biden. I say that with regret, for the former vice president is the nicest of fellows, lacking malice, who likes people and likes doing something ..."
Biden scolds reporter who asks about his son's business,"Former Vice President Joe Biden slammed President Donald Trump for using allegations of wrongdoing in Ukraine against him, saying Trump is only doing this ..."
Why Joe Biden's Slow-Paced Campaign Hasn't Slumped,Joe Biden's campaign these days looks more like an incumbent seeking re-election than an upstart hopeful. The former Vice President's campaign is holding ...
Joe Biden: Trump's reported effort to get Ukraine president to investigate him 'abhorrent',"CEDAR RAPIDS, IOWA – Former Vice President Joe Biden on Friday accused President Trump of ""abhorrent"" behavior amid news reports that the president ..."
Joe Biden faces the Trump fusillade. Are he and his campaign up to it?,"Biden has maintained a focus on issues and only sporadically defended himself and his son Hunter, but the impact of Trump's unsubstantiated accusations ..."
Young Voters Not Excited About Joe Biden,The Democratic front-runner has been slow to embrace the bloc. And the feeling is mutual.
Joe Biden says it's 'totally appropriate' for voters to consider his age,"Washington (CNN) Former Vice President Joe Biden said it's ""totally appropriate"" for people to consider his age when evaluating him as presidential candidate."
Joe Biden's Racist Answer on the Legacy of Slavery,"When asked about the legacy of slavery, Joe Biden lectured black people on their parenting abilities."
Opinion: Joe Biden Forced Ukraine to Fire Prosecutor for Aid Money,"Best of the Web: During a Council on Foreign Relations discussion on January 23, 2018, former Vice President Joe Biden spoke about his dealings in Ukraine."
"Joe Biden, Elizabeth Warren and Bernie Sanders commit to releasing medical records early",Democratic presidential hopeful Joe Biden committed to publicly releasing his medical records before the Iowa caucuses after questions of whether the ...
Why Biden will never recover from his ‘record player’ line,"Just to be sure I heard it correctly, I replayed former vice president Joe Biden's eye-popping gaffe from Thursday night's debate instructing poor parents to put the ..."
Donald Trump’s re-election campaign goes after Joe Biden’s gaffes in new video,The president's re-election campaign has set its sights on former Vice President Joe Biden's frequent slip-ups in a new video released Tuesday. Donald Trump's ...
Worried Biden allies plot super PAC to aid the former vice president,Washington (CNN) A group of former aides and allies to former Vice President Joe Biden are considering launching a super PAC to help the presidential ...
"What Biden was talking about when he was talking about record players, race and education","I tuned out for a moment during Thursday night's Democratic primary debate. By that point we were more than two hours in, and I was trying to double-check ..."
Fact-checking Trump’s latest claims on Biden and Ukraine,The president levels new charges against former vice president Joe Biden. We dissect his claims and find them wanting.
Biden Was Asked About Segregation. His Answer Included a Record Player.,"The record of former Vice President Joseph R. Biden Jr. on race and school desegregation once again came to the forefront during a Democratic debate, this ..."
Joe Biden tells story of a gang leader named 'Corn Pop' - Insider,"Presidential candidate and former Vice President Joe Biden has a story he's repeated a few times about a run-in with a gang leader named ""Corn Pop"" while he ..."
Joe Biden’s latest campaign gaffe hits Boston,“Rite Aid” … wrong store! Joe Biden's latest campaign-trail gaffe is an inspiring tale about a Boston strike — it just didn't happen quite like Joe said.
Joe Biden's childhood struggle with a stutter: How he overcame it and how it shaped him,"Joe Biden, storied speechifier whose verbal gaffes have come under scrutiny, had a stutter as a child. How he overcame it says a lot about his character and ..."
Here's What We Know About Joe and Hunter Biden in Ukraine,"President Donald Trump and his allies have been promoting allegations that a potential 2020 rival, former Vice President Joe Biden, improperly intervened in ..."
Joe Biden says ‘details are irrelevant.’ Can Democrats get away with that in the Trump era?,"""Details are irrelevant,"" Biden said in defense of mixing up a story about honoring an American soldier."
"Joe Biden has been around politics for decades, and so has his biographer","Former vice president Joe Biden has a lot to answer for. At least that is how his opponents for the Democratic presidential nomination have treated him, ..."
